,Country,Temperature,CO2 Emissions,Sea Level Rise,Precipitation,Humidity,Wind Speed,HDI rank,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank.1,ISO-code,TonsPerCapita
14,Barbados,18.664173630274814,421.5425311607077,-0.0992402780682369,47.64103557959817,53.739899081596775,28.785407357508028,70,HIGH,0.79,77.6,15.7,9.9,12306,26,71,BRB,4.46131058605182
15,Belarus,14.57876678073165,370.33936029935984,0.0609457355693299,41.15986266594006,54.243632780893215,18.777037354641585,60,VERY HIGH ,0.808,72.4,15.2,12.1,18849,8,60,BLR,6.1224715114762
16,Belgium,13.771891989246452,427.6618065313307,-0.0486922858585531,43.56898178971024,51.71243383253558,17.192109027048872,13,VERY HIGH ,0.937,81.9,19.6,12.4,52293,7,16,BEL,8.09545320820473
17,Belize,16.05439159625261,388.8764380984079,-0.1902771477495153,37.490349989445335,37.608410434986006,26.698883778219,123,MEDIUM ,0.683,70.5,13,8.8,6309,6,120,BLZ,1.64432850589188
18,Benin,15.502704362814184,370.5748429511713,-0.4521158080935099,49.08933637858149,45.93387529752914,27.07696777080065,166,LOW,0.525,59.8,10.8,4.3,3409,-7,166,BEN,0.593981795938373
19,Bhutan,15.752592235805835,381.71597744712375,0.0155427525393955,69.59771320593661,47.27654931624279,29.907403440709576,127,MEDIUM ,0.666,71.8,13.2,5.2,9438,-15,125,BTN,1.37310266737376
20,Bolivia,15.356187419996198,417.0313260589219,-0.0168266775816517,52.18335805039537,41.70342373155528,18.28967024798593,118,MEDIUM ,0.692,63.6,14.9,9.8,8111,0,119,BOL,1.8969264216844
21,Bosnia and Herzegovina,17.384303081229803,388.2642035791422,-0.6155260509386637,49.26029986622636,54.20189757191002,19.234324258154416,74,HIGH,0.78,75.3,13.8,10.5,15242,4,73,BIH,6.26858423708555
22,Botswana,16.315845987058914,387.31249280986697,-0.1046085728655874,39.38037974286738,71.00460888788345,30.0339479377081,117,MEDIUM ,0.693,61.1,12.3,10.3,16198,-43,110,BWA,2.90134584042418
23,Brazil,14.93921969506486,347.0230487547133,-0.4555720329032348,63.57769685142468,50.3321141007306,26.131344970948845,87,HIGH,0.754,72.8,15.6,8.1,14370,-5,86,BRA,2.05067522030747
24,Brunei Darussalam,19.1133310447512,384.5234522419193,-0.1169369788688543,53.30378265822416,69.98571315006274,29.224150729777914,51,VERY HIGH ,0.829,74.6,14,9.2,64490,-42,49,BRN,15.9484805318139
25,Bulgaria,12.41160783945426,392.96077251846174,0.0534369128543047,51.26181924321764,52.53029561566486,30.499285761246124,68,HIGH,0.795,71.8,13.9,11.4,23079,-8,64,BGR,5.61130176334883
26,Burkina Faso,13.758491054375655,433.2209941869881,-0.4502541355777319,61.74601249060444,53.63639746830139,25.173881203846324,184,LOW,0.449,59.3,9.1,2.1,2118,-8,185,BFA,0.23882618443359
27,Burundi,16.242155612949922,413.8014890801183,0.0191000905725342,43.36587983475565,42.57039614765849,24.090813068898854,187,LOW,0.426,61.7,10.7,3.1,732,4,187,BDI,0.0606930385071358
28,Cambodia,14.765084853711564,404.8900945141299,0.039646203929954,48.8334736024221,38.69914195457079,33.43129874107191,146,MEDIUM ,0.593,69.6,11.5,5.1,4079,3,148,KHM,0.998127685367231
29,Cameroon,18.25114607726992,392.1956423880942,0.094932236501815,43.96126572146613,67.77068238764392,18.02263112705788,151,MEDIUM ,0.576,60.3,13.1,6.2,3621,6,150,CMR,0.365719311524116
30,Canada,15.2191444312566,380.6502799868565,0.1685832358267284,28.982627008671383,58.57148708042439,33.24962322901186,15,VERY HIGH ,0.936,82.7,16.4,13.8,46808,9,15,CAN,15.4306867089188
31,Central African Republic,16.39430113601214,396.0440141559805,0.0720087352325048,60.42525356081685,47.16293630089127,23.12724931860244,188,LOW,0.404,53.9,8,4.3,966,1,188,CAF,0.0465703419483987
32,Chad,14.09757116415145,381.53905310260177,0.0043017895818509,58.23373918739834,34.72019970854659,31.40129162485321,190,LOW,0.394,52.5,8,2.6,1364,-7,190,TCD,0.139376119327835
33,Chile,21.75359301427675,388.510546498283,0.412127267380582,47.86577722654235,14.52888693413908,31.05313876821975,42,VERY HIGH ,0.855,78.9,16.7,10.9,24563,14,43,CHL,4.79894282854815
34,China,17.576962919386016,417.1824746890558,0.1810281455629641,51.30279015713348,49.73677646717265,27.729746694469167,79,HIGH,0.768,78.2,14.2,7.6,17504,-8,82,CHN,7.60593715481142
35,Colombia,12.596937375075358,391.4096296927895,0.1027949257601746,27.672192004113068,64.9518672556997,37.92084596761128,88,HIGH,0.752,72.8,14.4,8.9,14384,-7,88,COL,1.61472979894597
36,Comoros,16.655078146016123,389.5520184878701,-0.636956005509294,51.94679703731414,39.48781673156263,14.40180465918285,156,MEDIUM ,0.558,63.4,11.9,5.1,3142,6,156,COM,0.404811210312193
37,Congo,15.524454414979356,397.0180523877973,-0.4188697146364826,53.17125958072005,55.18292380611063,27.673687324656505,153,MEDIUM ,0.571,63.5,12.3,6.2,2889,11,153,COG,
38,Congo,15.524454414979356,397.0180523877973,-0.4188697146364826,53.17125958072005,55.18292380611063,27.673687324656505,179,LOW,0.479,59.2,9.8,7,1076,9,180,COG,
39,Costa Rica,13.494149316558886,411.7972856413022,-0.647609011356403,43.37522752912439,55.02952365006213,30.63909975332636,58,VERY HIGH ,0.809,77.0,16.5,8.8,19974,8,57,CRI,1.62022778104258
40,Croatia,13.606573067252771,416.2620480976784,0.3678162234465861,45.58208368363747,42.97115649852169,24.179112739123944,40,VERY HIGH ,0.858,77.6,15.1,12.2,30132,8,41,HRV,4.06451947763153
41,Cuba,16.81428879233108,421.262580646659,0.0380013940205051,39.15272929620974,55.9315433121081,34.154286110387375,83,HIGH,0.764,73.7,14.4,12.5,7879,37,73,CUB,2.28961683784588
42,Cyprus,17.70439399341912,427.0056238092192,0.3822109476158903,38.36135017075861,56.73809547424857,26.485178005071067,29,VERY HIGH ,0.896,81.2,15.6,12.4,38188,9,29,CYP,5.85366965160526
43,Denmark,16.892606476652524,420.5745725800366,-0.0184004055706862,58.53200381331514,60.38093364546831,23.88171601988995,6,VERY HIGH ,0.948,81.4,18.7,13,60365,6,5,DNK,5.10733483053002
44,Djibouti,15.460156781352486,391.6604023206171,0.11194269791087,36.54459839249468,46.96597694595207,26.093524752881656,171,LOW,0.509,62.3,7.4,4.1,5025,-32,171,DJI,0.391082259304987
45,Dominica,16.668164277849,418.6066094322392,0.1810620506049589,63.18811478353885,41.72963271688274,20.302150610534287,102,HIGH,0.72,72.8,13.3,8.1,11488,0,106,DMA,2.34921879375035
46,Dominican Republic,17.729520181687416,419.00233538959736,-0.1569546839652409,52.225186004130585,74.07100383239096,36.69485235776538,80,HIGH,0.767,72.6,14.5,9.3,17990,-11,82,DOM,2.50262776236684
47,Ecuador,17.115143580315227,383.51440986886246,0.0540852473986191,54.10929405627136,45.35714783549468,30.27410910773604,95,HIGH,0.74,73.7,14.6,8.8,10312,11,99,ECU,2.26556094590901
48,Egypt,18.728833931429783,376.23233048110586,0.415542482437037,54.60116801483096,65.46436431904445,29.39631854084485,97,HIGH,0.731,70.2,13.8,9.6,11732,4,97,EGY,
49,El Salvador,16.757295976901894,382.8797133586151,-0.4492994007400314,38.02238626490179,44.128314942201015,22.51433812021361,125,MEDIUM ,0.675,70.7,12.7,7.2,8296,-8,124,SLV,1.24164499411406
50,Equatorial Guinea,10.46696677910806,419.511860378856,-1.1613391501309145,69.4947986873104,47.29591777700637,32.336033266855225,145,MEDIUM ,0.596,60.6,9.7,5.9,12074,-47,147,GNQ,3.44603552665723
51,Eritrea,13.45733652403822,407.763052006184,0.158832591563102,58.37680553947772,57.2258105870189,30.42714556980436,176,LOW,0.492,66.5,8.1,4.9,1729,3,176,ERI,0.250170200336228
52,Estonia,15.4004025240343,359.079152617638,0.1954678230900664,45.045549041764325,36.64374748332092,28.672719036931287,31,VERY HIGH ,0.89,77.1,15.9,13.5,38048,8,30,EST,7.66856231601826
53,Ethiopia,6.411807100756781,401.0452408947325,0.7456472756634535,53.03084407324405,22.276893595175974,18.555450124350426,175,LOW,0.498,65.0,9.7,3.2,2361,-5,175,ETH,0.160876309494148
54,Fiji,16.17132302413103,387.2783945364367,0.3561984789937111,55.4593494214108,56.93441359651545,27.362890792864267,99,HIGH,0.73,67.1,14.7,10.9,9980,9,94,FJI,1.77728057138813
55,Finland,13.062585311938369,390.50240568848017,0.0715145196049275,39.81992124310027,52.44729375890093,24.26874329763697,11,VERY HIGH ,0.94,82.0,19.1,12.9,49452,11,12,FIN,7.37227538509629
56,France,14.713351632474712,407.3435337937283,-0.2052333051557605,45.23413913625331,52.13511687107507,21.67550947989038,28,VERY HIGH ,0.903,82.5,15.8,11.6,45937,-2,28,FRA,4.45948233425117
57,Gabon,14.6792484878267,389.7658993421932,-1.0523459580821584,43.9646402554188,45.66812126710118,25.964427909214496,112,HIGH,0.706,65.8,13,9.4,13367,-25,113,GAB,2.33883319176827
58,Gambia,12.855075966157589,426.2447867482192,-0.2176414910057504,47.989956759415726,71.6378108292539,28.72027614745274,174,LOW,0.5,62.1,9.4,4.6,2172,-1,173,GMB,
59,Georgia,11.344629269610827,408.2209931798064,-0.2167726174089906,45.40360689966368,50.23688472506005,17.892327643344924,63,VERY HIGH ,0.802,71.7,15.6,12.8,14664,17,64,GEO,2.7184844956979
60,Germany,16.72674509853817,406.8333578520713,-0.2017251085250307,53.750125947779104,64.35638102988445,24.81584526804429,9,VERY HIGH ,0.942,80.6,17,14.1,54534,6,7,DEU,7.9116327565745
61,Ghana,11.906598543670423,442.0460704120727,-0.5718731573741322,29.65088846840548,57.4048751582036,10.149723607678842,133,MEDIUM ,0.632,63.8,12,8.3,5745,-2,135,GHA,0.635759648172769
62,Greece,15.04340078951935,415.719429354106,-0.8018202699322555,32.22660791115741,55.5579527642181,36.697392615562975,33,VERY HIGH ,0.887,80.1,20,11.4,29002,17,33,GRC,5.59589060644222
63,Grenada,15.1848660598381,401.236983944697,0.6030669468427708,47.49435174310594,60.98374874875024,21.30877085521012,68,HIGH,0.795,74.9,18.7,9,13484,18,70,GRD,2.64821876731528
64,Guatemala,16.580112725644966,407.04790938664064,1.0332809356274313,83.19069665267803,12.388594053698071,8.310723479178304,135,MEDIUM ,0.627,69.2,10.6,5.7,8723,-20,133,GTM,1.16315163563343
65,Guinea,13.2916788045813,365.0713077612786,-0.3885984795569697,39.93927588194595,47.83144738036287,16.92030937191239,182,LOW,0.465,58.9,9.8,2.2,2481,-13,182,GIN,0.307092838157974
66,Guinea-Bissau,13.079296922675466,366.98760063818736,-0.1897670614657601,30.27773432060693,58.55879777868952,21.57195421884207,177,LOW,0.483,59.7,10.6,3.6,1908,0,177,GNB,0.167879837012429
67,Guyana,11.713019131593112,383.5852635651386,0.53871198884841,62.736548851017226,50.39090431209112,23.916711754334475,108,HIGH,0.714,65.7,12.5,8.6,22465,-47,107,GUY,3.56330430057853
68,Haiti,13.49755581247077,388.3459307972406,-0.6340313944525098,47.95898305481306,51.91006879449906,34.583837605992656,163,LOW,0.535,63.2,9.7,5.6,2848,2,162,HTI,0.297241022260954
69,Honduras,13.382367928598192,395.3417995069614,-0.0469675665398278,46.7974576225482,27.17254338835642,25.31960072630929,137,MEDIUM ,0.621,70.1,10.1,7.1,5298,-1,138,HND,1.02618490587598
70,Hong Kong,16.958207895105808,419.3572529801029,0.3259714572933227,35.15359260789694,47.59723140615036,20.97600645183715,4,VERY HIGH ,0.952,85.5,17.3,12.2,62607,6,4,HKG,
71,Hungary,14.707640483990398,369.2528066483538,-0.4031909502587221,46.8745400483204,49.50515921992345,35.50108413419329,46,VERY HIGH ,0.846,74.5,15,12.2,32789,-2,44,HUN,4.74686630762979
72,Iceland,12.29853873445682,409.81407661558296,0.1634526638848187,59.2392270812149,37.501201647580665,34.8209522490519,3,VERY HIGH ,0.959,82.7,19.2,13.8,55782,11,2,ISL,4.53818056761232
73,India,13.93480756268105,393.01184565667535,-0.0595680429676476,55.13599483895789,43.86699293378953,15.51363938384434,132,MEDIUM ,0.633,67.2,11.9,6.7,6590,-6,130,IND,1.77592336065614
74,Indonesia,17.915700769519024,399.3864628867264,-0.6490517759287289,42.43964391858562,48.480472995934825,27.774939955057413,114,HIGH,0.705,67.6,13.7,8.6,11466,-11,116,IDN,2.29925841210138
75,Iran,13.92810195449188,450.7095820527703,-0.2849552319512381,47.518940686747165,45.12658000867548,23.584189162938607,76,HIGH,0.774,73.9,14.6,10.6,13001,15,77,IRN,
76,Iraq,17.619130910478816,401.7498453052728,0.087086498417809,49.76794390467415,43.85411653158573,30.64365191104004,121,MEDIUM ,0.686,70.4,12.1,7.9,9977,-12,122,IRQ,4.19980069060561
77,Ireland,15.53273530143566,396.555916342464,0.2186147867623876,28.72783936847562,59.924176559981404,21.93065283525888,8,VERY HIGH ,0.945,82.0,18.9,11.6,76169,-3,8,IRL,7.24532561598917
78,Israel,13.334011284263893,403.4146882057546,0.0990088363073374,53.73451329411476,44.41818413687174,31.57709611172318,22,VERY HIGH ,0.919,82.3,16.1,13.3,41524,10,22,ISR,6.91962668433841
79,Italy,14.984740119448109,403.1953774592218,0.0575178105210675,34.18627872461244,46.97712474567872,21.176785248715,30,VERY HIGH ,0.895,82.9,16.2,10.7,42840,0,32,ITA,5.31129216603885
80,Jamaica,18.292759850769333,388.02600961898366,-0.5616362823929305,56.006622936545305,48.31194608259191,24.290809362170396,110,HIGH,0.709,70.5,13.4,9.2,8834,4,110,JAM,2.98332523625751
81,Japan,17.86915786093162,436.0398066028176,-0.5913266208336404,47.23330309167864,41.857953337888,16.14117660312618,19,VERY HIGH ,0.925,84.8,15.2,13.4,42274,12,19,JPN,8.54099642273341
82,Jordan,13.72504886303488,378.692340826852,-0.8527703662000403,37.25768221518005,58.85944876814732,31.51507857093504,102,HIGH,0.72,74.3,10.6,10.4,9924,8,104,JOR,2.3019188436558
83,Kazakhstan,12.64385223643848,388.8254914733597,-0.4076742145738563,34.627833675961575,65.36189891898387,19.68567302110885,56,VERY HIGH ,0.811,69.4,15.8,12.3,23943,1,59,KAZ,11.4568243697509
84,Kenya,16.292919313317952,367.13668948485366,0.5375355982185134,52.86252228877822,55.13542774617514,25.761891686243647,152,MEDIUM ,0.575,61.4,10.7,6.7,4474,-6,150,KEN,0.437312382670169
85,Kiribati,15.913363287993084,409.33007118060186,0.4520824659243219,53.13109361156392,30.524060655088576,21.96576245435612,136,MEDIUM ,0.624,67.4,11.8,8,4063,14,137,KIR,0.699447042441706
86,Korea,12.022623112156063,396.4559802157869,0.3422132873493405,56.92143610245007,45.16536846135917,22.821470411603528,19,VERY HIGH ,0.925,83.7,16.5,12.5,44501,9,20,KOR,
87,Kuwait,15.65650159356332,339.3139825905896,-0.6859879007823307,59.00544004816415,49.05662392169508,35.78713504061964,50,VERY HIGH ,0.831,78.7,15.3,7.3,52920,-32,54,KWT,20.8615433113418
88,Lao People's Democratic Republic,13.864918069098138,387.0356577590516,-0.2041234181773278,45.33407489615796,55.35064943921181,24.36523189729308,140,MEDIUM ,0.607,68.1,10.1,5.4,7700,-18,142,LAO,
89,Latvia,17.291740790790406,402.4988175075324,0.6299632504329964,40.86523006566351,59.7850204734273,25.928565053276845,39,VERY HIGH ,0.863,73.6,16.2,13.3,32803,4,37,LVA,3.95501776027238
90,Lebanon,13.827569316777568,403.1021948607928,-0.0181216551404681,47.15166868321624,62.9478543688669,17.95093136895736,112,HIGH,0.706,75.0,11.3,8.7,9526,-1,103,LBN,4.83343990140277
91,Lesotho,14.811429545936427,393.4942663094239,-0.1323132984937841,63.29291070337212,69.40025405896726,30.979065732544687,168,LOW,0.514,53.1,12,6,2700,-2,168,LSO,0.345868404665135
92,Liberia,17.832085958739203,413.5142710178716,-0.385103486105228,58.72201118220092,44.24729729648645,20.181460418851227,178,LOW,0.481,60.7,10.4,5.1,1289,7,179,LBR,0.237097588524958
93,Liechtenstein,13.856677536751,384.42567701945865,0.8587556441086194,60.87693814244384,67.52641348266013,27.510834015498748,16,VERY HIGH ,0.935,83.3,15.2,12.5,146830,-15,14,LIE,3.85634842263916
94,Lithuania,15.534494856124368,389.9281996938101,-0.0174362827128239,54.48091384708548,42.63326645239415,17.543769378345488,35,VERY HIGH ,0.875,73.7,16.3,13.5,37931,5,34,LTU,4.19818355363391
95,Luxembourg,11.934364923458538,396.5847234640783,0.0542878849639379,38.77657411617654,46.62935828210899,28.2523481810846,17,VERY HIGH ,0.93,82.6,14.4,13,84649,-13,17,LUX,15.3051366046184
96,Madagascar,14.628671005821555,373.8887145571334,-0.0413108577868907,63.85777013905639,53.980567840629554,20.33827108946701,173,LOW,0.501,64.5,10.1,5.1,1484,8,173,MDG,0.149654957550419
97,Malawi,14.051419699828102,402.06209357965935,0.4739880732085732,35.04608568658403,55.369996547919655,22.723568821578624,169,LOW,0.512,62.9,12.7,4.5,1466,13,169,MWI,0.077048499213217
98,Malaysia,12.899295852793148,415.44930049695466,-0.3300141216257868,43.28904299831076,46.141122345705966,17.739360094934298,62,VERY HIGH ,0.803,74.9,13.3,10.6,26658,-8,61,MYS,7.72059339068809
99,Maldives,11.136204937225212,393.4294475835072,0.68295744165137,51.03706332051912,31.743506588294533,24.407931626062517,90,HIGH,0.747,79.9,12.6,7.3,15448,-14,97,MDV,4.18149959960992
100,Mali,14.88912881026578,409.7443118478192,-0.0890586193432819,31.25225119403576,31.49416889180514,27.82141449191792,186,LOW,0.428,58.9,7.4,2.3,2133,-11,186,MLI,0.283642715782006
101,Malta,12.92881784879446,358.6057201369261,0.1999303107477778,53.76549186290239,55.28893594080303,25.95625835725928,23,VERY HIGH ,0.918,83.8,16.8,12.2,38884,12,26,MLT,3.29046823605033
102,Marshall Islands,17.980522810683038,445.5166914311664,-0.3856970792339483,60.58968099827488,59.82529674847213,17.973421863593522,131,MEDIUM ,0.639,65.3,10.2,10.9,4620,12,131,MHL,4.01314612770524
103,Mauritania,13.973328843613636,402.1904476227056,0.0975855414270198,34.93409954396802,62.412337429034295,20.49138762131925,158,MEDIUM ,0.556,64.4,9.4,4.9,5075,-20,158,MRT,0.9008293853187
104,Mauritius,16.9141676543854,402.579143751813,-0.0811423195321388,35.70898200228874,56.17867200249673,31.477679669351232,63,VERY HIGH ,0.802,73.6,15.2,10.4,22025,-1,62,MUS,3.29751420347931
105,Mexico,12.046538431441892,387.4138604250322,-0.1571543333509723,43.86901271392406,42.82309773461792,25.54849682703804,86,HIGH,0.758,70.2,14.9,9.2,17896,-16,88,MEX,3.59167752319055
106,Monaco,16.11446897176404,434.8605130227135,-0.6137990981349407,56.32081867633549,51.69308819455703,21.22598912329705,193,OTHER ,..,85.9,..,..,..,..,..,MCO,
107,Mongolia,12.364763223848495,381.7182859209139,-0.2390157861130736,56.80988779093647,46.00017004350367,30.704489201133427,96,HIGH,0.739,71.0,15,9.4,10588,9,90,MNG,7.13831390006899
108,Montenegro,13.399795504978124,409.8791500565205,-0.1414600090649644,59.5158744303507,61.23223010100875,30.10375266414704,49,VERY HIGH ,0.832,76.3,15.1,12.2,20839,16,52,MNE,4.18164455619361
109,Morocco,15.62625499354404,414.3666126451766,0.1354614673129136,54.50426741980442,36.8487834949771,25.01605755018837,123,MEDIUM ,0.683,74.0,14.2,5.9,7303,1,122,MAR,1.96887937134246
110,Mozambique,17.570194913484034,409.466586471244,0.5598224640694024,49.904732376996215,46.38953528167787,27.53775702924065,185,LOW,0.446,59.3,10.2,3.2,1198,2,184,MOZ,0.247480691728196
111,Myanmar,15.468154487737785,423.9113811148055,-0.0744384361998186,50.76597892341342,51.269754688232034,17.36716233594137,149,MEDIUM ,0.585,65.7,10.9,6.4,3851,5,145,MMR,0.692270988660452
112,Namibia,18.140759171282703,394.9169225329522,0.3426983900018157,64.194831600563,33.51569934702704,17.070975587821565,139,MEDIUM ,0.615,59.3,11.9,7.2,8634,-23,134,NAM,1.72317672697785
113,Nauru,13.428589481891107,482.95573292883,-0.7656938527773139,63.05742094648176,63.45862969217863,36.39712996419207,194,OTHER ,..,63.6,11.7,..,17730,..,..,NRU,5.2917903066271
114,Nepal,14.730876435914338,408.6241463212178,0.4247722103204929,50.91695335304183,58.64385529614896,28.592648065545088,143,MEDIUM ,0.602,68.4,12.9,5.1,3877,10,144,NPL,0.466425105894405
115,Netherlands,9.548016137919385,391.8981693105448,-1.0597960371502055,66.37532677581542,45.01253482350975,29.552282330268877,10,VERY HIGH ,0.941,81.7,18.7,12.6,55979,3,10,NLD,8.43713249228562
116,New Zealand,17.55495755324852,430.0187910789606,0.064489846838968,51.76171923745439,55.10951644143986,24.3762695894603,13,VERY HIGH ,0.937,82.5,20.3,12.9,44057,16,13,NZL,6.83015343830334
117,Nicaragua,12.269916111522674,420.6985236033792,-0.1089985548944838,52.62172717715748,57.74645740618431,19.75549725243565,126,MEDIUM ,0.667,73.8,12.6,7.1,5625,6,129,NIC,0.785738252717168
118,Niger,15.965480741070005,423.0361887211643,-0.328161119224751,49.14338869899667,46.45853432054929,37.59869869123013,189,LOW,0.4,61.6,7,2.1,1240,-3,189,NGA,0.0916654854525537
119,Nigeria,14.27941326062864,396.4153137955926,-0.1632367173432168,53.84622600541591,68.2387947618288,19.69060384132234,163,LOW,0.535,52.7,10.1,7.2,4790,-22,163,NGA,0.567021903283868
120,North Macedonia,11.858247841238324,389.13707416696127,-0.0110346693923202,37.826214096801785,68.75690243536475,25.85887883600901,78,HIGH,0.77,73.8,13.6,10.2,15918,-3,79,MKD,3.99798911153978
121,Norway,18.277363493125424,421.7821122059819,0.0805576722712037,36.58131501058664,46.32994788986133,25.157469505712825,2,VERY HIGH ,0.961,83.2,18.2,13,64660,6,1,NOR,6.72159668026454
122,Oman,13.356443531213936,439.7864431360691,-0.2062122885152161,56.56964332835311,44.71966382472502,31.5724599506433,54,VERY HIGH ,0.816,72.5,14.6,11.7,27054,-2,51,OMN,16.517625915536
123,Pakistan,15.065735792453346,385.8617473955981,0.219653953593841,51.50334784134166,65.83149516176675,28.9656312423876,161,LOW,0.544,66.1,8.7,4.5,4624,-19,161,PAK,0.853455151001409
124,Palau,14.95784225973558,384.287053720362,-0.4045257296516003,61.12310974830486,54.77252537003047,25.32943741454096,80,HIGH,0.767,66.0,15.8,12.5,13819,5,80,PLW,14.0488948425988
125,Panama,15.364356300216974,397.71394655968027,0.6249314449059231,44.41293161828025,47.92269732298023,22.255054633154813,61,VERY HIGH ,0.805,76.2,13.1,10.5,26957,-8,67,PAN,3.15277002040386
126,Papua New Guinea,12.892058645534554,392.6603489127052,-0.1246784929675794,52.32623558638283,45.51426156113505,24.85351571296833,156,MEDIUM ,0.558,65.4,10.4,4.7,4009,-4,157,PNG,0.794551859966051
127,Paraguay,16.865832248117606,402.7100876595683,-0.1578880631905174,48.31322791261442,61.15605962601466,15.61596715246848,105,HIGH,0.717,70.3,13,8.9,12349,-10,100,PRY,1.2578357268409
128,Peru,15.022251219564586,353.26486081998985,0.0298693951188473,59.5914335717019,32.5878083227761,24.31553535785782,84,HIGH,0.762,72.4,15.4,9.9,12246,13,85,PER,1.72875979581452
129,Philippines,16.165314322806903,388.0315252227256,-0.1314077932890354,50.724997733855616,62.89576034634585,32.51724734913005,116,MEDIUM ,0.699,69.3,13.1,9,8920,-3,113,PHL,1.3174265336933
130,Poland,9.64666791950824,378.5903529984706,-0.8133115783906184,48.64472677349082,39.11495002932728,25.28370261110124,34,VERY HIGH ,0.876,76.5,16,13.2,33034,8,36,POL,7.77369965738609
131,Portugal,17.969542421234802,422.4629142172232,0.0531739956639098,35.08377159240196,38.59040415364055,23.24716432485586,38,VERY HIGH ,0.866,81.0,16.9,9.6,33155,3,39,PRT,4.33963238155587
132,Qatar,14.995520858866444,409.35192525647045,0.4173750416944303,45.75660310233164,34.50091345992909,31.63216445745376,42,VERY HIGH ,0.855,79.3,12.6,10,87134,-39,42,QAT,32.7608483080326
133,Romania,11.998254095863029,410.46140623321264,-0.1241328035369075,47.55648726050639,49.29686255698835,22.780493752196577,53,VERY HIGH ,0.821,74.2,14.2,11.3,30027,-4,53,ROU,3.81734687725071
134,Russian Federation,16.284454572238968,379.47195905225817,0.2668197508667196,28.56899079817687,39.25686768692621,25.80430269365977,52,VERY HIGH ,0.822,69.4,15.8,12.8,27166,-1,49,RUS,11.7972031697435
135,Rwanda,16.506994743084086,403.3305802503574,0.0342915607849576,38.29767632364528,62.0643932679379,26.17497067070253,165,LOW,0.534,66.1,11.2,4.4,2210,6,165,RWA,0.103842079658883
